,RMSE,R2 Score
Linear Regression,71195.65946142832,0.6014584499707369
Random Forest,62994.47311444934,0.6879878780715334
XGBoost_tuned,58138.12188228994,0.7342406511306763
Decision Tree,70462.56408627797,0.6096236878628285
XGBoost,58587.379391810995,0.7301174998283386
